time_s,left_heel_y,right_heel_y,left_knee_deg,right_knee_deg
0.000,0.124190,0.125729,147.829,141.289
0.020,0.128512,0.121738,149.785,139.497
0.040,0.132700,0.117719,151.618,137.791
0.060,0.136687,0.113737,153.299,136.199
0.080,0.140412,0.109853,154.802,134.746
0.100,0.143814,0.106130,156.103,133.455
0.120,0.146841,0.102625,157.181,132.346
0.140,0.149445,0.099394,158.020,131.436
0.160,0.151584,0.096488,158.607,130.740
0.180,0.153225,0.093953,158.931,130.269
0.200,0.154342,0.091828,158.989,130.031
0.220,0.154918,0.090148,158.779,130.028
0.240,0.154943,0.088939,158.304,130.262
0.260,0.154417,0.088219,157.572,130.728
0.280,0.153348,0.088001,156.594,131.419
0.300,0.151753,0.088288,155.386,132.324
0.320,0.149657,0.089074,153.968,133.430
0.340,0.147094,0.090348,152.360,134.717
0.360,0.144103,0.092090,150.589,136.167
0.380,0.140733,0.094272,148.682,137.756
0.400,0.137035,0.096860,146.671,139.460
0.420,0.133068,0.099813,144.585,141.250
0.440,0.128896,0.103084,142.459,143.100
0.460,0.124583,0.106622,140.325,144.980
0.480,0.120198,0.110370,138.218,146.860
0.500,0.115810,0.114271,136.171,148.711
0.520,0.111488,0.118262,134.215,150.503
0.540,0.107300,0.122281,132.382,152.209
0.560,0.103313,0.126263,130.701,153.801
0.580,0.099588,0.130147,129.198,155.254
0.600,0.096186,0.133870,127.897,156.545
0.620,0.093159,0.137375,126.819,157.654
0.640,0.090555,0.140606,125.980,158.564
0.660,0.088416,0.143512,125.393,159.260
0.680,0.086775,0.146047,125.069,159.731
0.700,0.085658,0.148172,125.011,159.969
0.720,0.085082,0.149852,125.221,159.972
0.740,0.085057,0.151061,125.696,159.738
0.760,0.085583,0.151781,126.428,159.272
0.780,0.086652,0.151999,127.406,158.581
0.800,0.088247,0.151712,128.614,157.676
0.820,0.090343,0.150926,130.032,156.570
0.840,0.092906,0.149652,131.640,155.283
0.860,0.095897,0.147910,133.411,153.833
0.880,0.099267,0.145728,135.318,152.244
0.900,0.102965,0.143140,137.329,150.540
0.920,0.106932,0.140187,139.415,148.750
0.940,0.111104,0.136916,141.541,146.900
0.960,0.115417,0.133378,143.675,145.020
0.980,0.119802,0.129630,145.782,143.140
1.000,0.124190,0.125729,147.829,141.289
1.020,0.128512,0.121738,149.785,139.497
1.040,0.132700,0.117719,151.618,137.791
1.060,0.136687,0.113737,153.299,136.199
1.080,0.140412,0.109853,154.802,134.746
1.100,0.143814,0.106130,156.103,133.455
1.120,0.146841,0.102625,157.181,132.346
1.140,0.149445,0.099394,158.020,131.436
1.160,0.151584,0.096488,158.607,130.740
1.180,0.153225,0.093953,158.931,130.269
1.200,0.154342,0.091828,158.989,130.031
1.220,0.154918,0.090148,158.779,130.028
1.240,0.154943,0.088939,158.304,130.262
1.260,0.154417,0.088219,157.572,130.728
1.280,0.153348,0.088001,156.594,131.419
1.300,0.151753,0.088288,155.386,132.324
1.320,0.149657,0.089074,153.968,133.430
1.340,0.147094,0.090348,152.360,134.717
1.360,0.144103,0.092090,150.589,136.167
1.380,0.140733,0.094272,148.682,137.756
1.400,0.137035,0.096860,146.671,139.460
1.420,0.133068,0.099813,144.585,141.250
1.440,0.128896,0.103084,142.459,143.100
1.460,0.124583,0.106622,140.325,144.980
1.480,0.120198,0.110370,138.218,146.860
1.500,0.115810,0.114271,136.171,148.711
1.520,0.111488,0.118262,134.215,150.503
1.540,0.107300,0.122281,132.382,152.209
1.560,0.103313,0.126263,130.701,153.801
1.580,0.099588,0.130147,129.198,155.254
1.600,0.096186,0.133870,127.897,156.545
1.620,0.093159,0.137375,126.819,157.654
1.640,0.090555,0.140606,125.980,158.564
1.660,0.088416,0.143512,125.393,159.260
1.680,0.086775,0.146047,125.069,159.731
1.700,0.085658,0.148172,125.011,159.969
1.720,0.085082,0.149852,125.221,159.972
1.740,0.085057,0.151061,125.696,159.738
1.760,0.085583,0.151781,126.428,159.272
1.780,0.086652,0.151999,127.406,158.581
1.800,0.088247,0.151712,128.614,157.676
1.820,0.090343,0.150926,130.032,156.570
1.840,0.092906,0.149652,131.640,155.283
1.860,0.095897,0.147910,133.411,153.833
1.880,0.099267,0.145728,135.318,152.244
1.900,0.102965,0.143140,137.329,150.540
1.920,0.106932,0.140187,139.415,148.750
1.940,0.111104,0.136916,141.541,146.900
1.960,0.115417,0.133378,143.675,145.020
1.980,0.119802,0.129630,145.782,143.140
2.000,0.124190,0.125729,147.829,141.289
2.020,0.128512,0.121738,149.785,139.497
2.040,0.132700,0.117719,151.618,137.791
2.060,0.136687,0.113737,153.299,136.199
2.080,0.140412,0.109853,154.802,134.746
2.100,0.143814,0.106130,156.103,133.455
2.120,0.146841,0.102625,157.181,132.346
2.140,0.149445,0.099394,158.020,131.436
2.160,0.151584,0.096488,158.607,130.740
2.180,0.153225,0.093953,158.931,130.269
2.200,0.154342,0.091828,158.989,130.031
2.220,0.154918,0.090148,158.779,130.028
2.240,0.154943,0.088939,158.304,130.262
2.260,0.154417,0.088219,157.572,130.728
2.280,0.153348,0.088001,156.594,131.419
2.300,0.151753,0.088288,155.386,132.324
2.320,0.149657,0.089074,153.968,133.430
2.340,0.147094,0.090348,152.360,134.717
2.360,0.144103,0.092090,150.589,136.167
2.380,0.140733,0.094272,148.682,137.756
2.400,0.137035,0.096860,146.671,139.460
2.420,0.133068,0.099813,144.585,141.250
2.440,0.128896,0.103084,142.459,143.100
2.460,0.124583,0.106622,140.325,144.980
2.480,0.120198,0.110370,138.218,146.860
2.500,0.115810,0.114271,136.171,148.711
2.520,0.111488,0.118262,134.215,150.503
2.540,0.107300,0.122281,132.382,152.209
2.560,0.103313,0.126263,130.701,153.801
2.580,0.099588,0.130147,129.198,155.254
2.600,0.096186,0.133870,127.897,156.545
2.620,0.093159,0.137375,126.819,157.654
2.640,0.090555,0.140606,125.980,158.564
2.660,0.088416,0.143512,125.393,159.260
2.680,0.086775,0.146047,125.069,159.731
2.700,0.085658,0.148172,125.011,159.969
2.720,0.085082,0.149852,125.221,159.972
2.740,0.085057,0.151061,125.696,159.738
2.760,0.085583,0.151781,126.428,159.272
