time_s,left_heel_y,right_heel_y,left_knee_deg,right_knee_deg
0.000,0.125978,0.127388,145.346,149.506
0.020,0.130403,0.124645,147.781,148.399
0.040,0.134695,0.121843,150.066,147.326
0.060,0.138800,0.119018,152.170,146.300
0.080,0.142665,0.116205,154.069,145.334
0.100,0.146239,0.113441,155.736,144.440
0.120,0.149479,0.110760,157.151,143.630
0.140,0.152342,0.108197,158.296,142.915
0.160,0.154792,0.105785,159.156,142.302
0.180,0.156797,0.103555,159.720,141.801
0.200,0.158332,0.101535,159.981,141.417
0.220,0.159377,0.099751,159.936,141.156
0.240,0.159919,0.098226,159.584,141.020
0.260,0.159951,0.096979,158.932,141.012
0.280,0.159473,0.096026,157.986,141.132
0.300,0.158490,0.095379,156.760,141.378
0.320,0.157015,0.095047,155.268,141.746
0.340,0.155068,0.095034,153.530,142.233
0.360,0.152672,0.095339,151.568,142.832
0.380,0.149859,0.095960,149.407,143.535
0.400,0.146664,0.096888,147.075,144.334
0.420,0.143129,0.098112,144.601,145.218
0.440,0.139298,0.099615,142.018,146.175
0.460,0.135221,0.101378,139.357,147.195
0.480,0.130949,0.103379,136.654,148.263
0.500,0.126537,0.105593,133.942,149.366
0.520,0.122042,0.107991,131.257,150.490
0.540,0.117520,0.110542,128.632,151.620
0.560,0.113030,0.113215,126.101,152.742
0.580,0.108630,0.115973,123.697,153.843
0.600,0.104374,0.118784,121.450,154.906
0.620,0.100319,0.121610,119.389,155.920
0.640,0.096514,0.124415,117.540,156.871
0.660,0.093010,0.127164,115.927,157.747
0.680,0.089851,0.129821,114.571,158.537
0.700,0.087077,0.132353,113.488,159.231
0.720,0.084723,0.134727,112.693,159.819
0.740,0.082821,0.136913,112.196,160.295
0.760,0.081393,0.138882,112.003,160.652
0.780,0.080459,0.140611,112.116,160.885
0.800,0.080030,0.142076,112.535,160.993
0.820,0.080111,0.143259,113.253,160.972
0.840,0.080703,0.144145,114.262,160.824
0.860,0.081796,0.144722,115.549,160.551
0.880,0.083378,0.144984,117.098,160.156
0.900,0.085427,0.144926,118.887,159.643
0.920,0.087918,0.144550,120.896,159.020
0.940,0.090819,0.143860,123.097,158.295
0.960,0.094093,0.142865,125.463,157.477
0.980,0.097699,0.141578,127.964,156.575
1.000,0.101589,0.140015,130.568,155.603
1.020,0.105714,0.138197,133.241,154.572
1.040,0.110022,0.136146,135.949,153.495
1.060,0.114457,0.133889,138.658,152.386
1.080,0.118963,0.131454,141.333,151.259
1.100,0.123482,0.128873,143.940,150.129
1.120,0.127957,0.126179,146.445,149.011
1.140,0.132330,0.123405,148.817,147.917
1.160,0.136546,0.120588,151.025,146.863
1.180,0.140550,0.117764,153.041,145.862
1.200,0.144292,0.114968,154.839,144.927
1.220,0.147723,0.112237,156.397,144.069
1.240,0.150800,0.109604,157.694,143.300
1.260,0.153484,0.107105,158.714,142.629
